一	yī
会议	huìyì
会诊	huìzhěn
会话	huìhuà
会谈	huìtán
会长	huìzhǎng
会面	huìmiàn
伞	sǎn
伟大	wěidà
传	chuán
传人	chuánrén
传出	chuánchū
传单	chuándān
传奇	chuánqí
传媒	chuánméi
传导	chuándǎo
传承	chuánchéng
传授	chuánshòu
传播	chuánbō
传来	chuánlái
传染	chuánrǎn
传染病	chuánrǎnbìng
传真	chuánzhēn
传神	chuánshén
传统	chuántǒng
传言	chuányán
传记	zhuànjì
传说	chuánshuō
传输	chuánshū
传达	chuándá
传送	chuánsòng
传递	chuándì
传闻	chuánwén
伤	shāng
伤亡	shāngwáng
伤势	shāngshì
伤口	shāngkǒu
伤员	shāngyuán
伤害	shānghài
伤心	shāngxīn
伤感	shānggǎn
伤残	shāngcán
伤痕	shānghén
伤痛	shāngtòng
伤脑筋	shāngnǎojīn
伦理	lúnlǐ
伪	wèi
伪装	wěizhuāng
伪造	wěizào
伫立	zhùlì
伯伯	bóbo
伯伯(˙ㄅㄛ)	bóbo
伯母	bómǔ
伯父	bófù
估价	gūjià
估算	gūsuàn
估计	gūjì
伴	bàn
伴侣	bànlǚ
伴奏	bànzòu
伴随	bànsuí
伸	shēn
伸展	shēnzhǎn
伸张	shēnzhāng
伸手	shēnshǒu
伸缩	shēnsuō
伺候	cìhòu
伺机	sìjī
似乎	sìhū
似是而非	sìshìérfēi
似曾相识	sìcéngxiāngshí
似的	shìde
但	dàn
但愿	dànyuàn
但是	dànshì
位	wèi
位于	wèiyú
位子	wèizi
位置	wèizhì
低	dī
低下	dīxià
低于	dīyú
低价	dījià
低估	dīgū
低头	dītóu
低廉	dīlián
低沉	dīchén
低温	dīwēn
低潮	dīcháo
低碳	dītàn
低调	dīdiào
低谷	dīgǔ
低迷	dīmí
住	zhù
住址	zhùzhǐ
住处	zhùchù
住宅	zhùzhái
住宿	zhùsù
住户	zhùhù
住房	zhùfáng
住院	zhùyuàn
佐料	zuǒliào
体会	tǐhuì
体制	tǐzhì
体力	tǐlì
体操	tǐcāo
体格	tĭgé
体检	tǐjiǎn
体温	tǐwēn
体现	tǐxiàn
体积	tǐjī
体系	tǐxì
体育	tǐyù
体育场	tǐyùchǎng
体育馆	tǐyùguǎn
体能	tǐnéng
体认	tǐrèn
体谅	tǐliàng
体质	tǐzhì
体贴	tǐtiē
体重	tǐzhòng
体面	tǐmiàn
体验	tǐyàn
何	hé
何以	héyǐ
何况	hékuàng
何在	hézài
何处	héchù
何尝	hécháng
何必	hébì
何时	héshí
何等	héděng
何苦	hékǔ
何谓	héwèi
余	yú
余地	yúdì
余额	yúé
佛	fú
佛像	fóxiàng
佛家	fójiā
佛教	fójiào
佛经	fójīng
作	zuò
作业	zuòyè
作为	zuòwéi
作主	zuòzhǔ
作伴	zuòbàn
作出	zuòchū
作品	zuòpǐn
作客	zuòkè
作家	zuòjiā
作对	zuòduì
作废	zuòfèi
作弊	zuòbì
作怪	zuòguài
作息	zuòxí
作战	zuòzhàn
作文	zuòwén
作物	zuòwù
作用	zuòyòng
作画	zuòhuà
作答	zuòdá
作者	zuòzhě
作证	zuòzhèng
作风	zuòfēng
你	nǐ
你们	nǐmen
佣人	yòngrén
佩服	pèifú
佳人	jiārén
佳节	jiājié
使	shǐ
使劲	shǐjìn
使命	shǐmìng
使唤	shǐhuàn
使得	shǐde
使用	shǐyòng
使者	shǐzhě
使节	shĭjié
侃大山	kǎndàshān
例	lì
例(子)	lì
例外	lìwài
例如	lìrú
例子	lìzi
例行	lìxíng
侍候	shìhòu
供	gōng
供不应求	gōngbùyìngqiú
供养	gòngyàng
供奉	gòngfèng
供应	gōngyìng
供暖	gōngnuǎn
供求	gōngqiú
供给	gōngjǐ
依	yī
依依不舍	yīyībùshě
依序	yīxù
依循	yīxún
依托	yītuō
依据	yījù
依旧	yījiù
依次	yīcì
依法	yīfǎ
依然	yīrán
依照	yīzhào
依赖	yīlài
依附	yīfù
依靠	yīkào
侠义	xiáyì
侥幸	jiǎoxìng
侦办	zhēnbàn
侦察	zhēnchá
侦探	zhēntàn
侧	cè
侧重	cèzhòng
侧面	cèmiàn
侮辱	wǔrǔ
侵入	qīnrù
侵占	qīnzhàn
侵害	qīnhài
侵权	qīnquán
侵犯	qīnfàn
侵略	qīnlüè
侵蚀	qīnshí
侵袭	qīnxí
便	biàn
便于	biànyú
便利	biànlì
便利店	biànlìdiàn
便宜	piányi
便捷	biànjié
便是	biànshì
便条	biàntiáo
便道	biàndào
便饭	biànfàn
促	cù
促使	cùshǐ
促成	cùchéng
促进	cùjìn
促销	cùxiāo
俄语	éyǔ
俊	jùn
俊俏	jùnqiào
俏	qiào
俏丽	qiàolì
俐落	lìluò
俗	sú
俗称	súchēng
俗话	súhuà
俗话说	súhuàshuō
俗语	súyǔ
俘获	fúhuò
俘虏	fúlǔ
保	bǎo
保佑	bǎoyòu
保修	bǎoxiū
保健	bǎojiàn
保全	băoquán
保养	bǎoyǎng
保卫	bǎowèi
保姆	bǎomǔ
保存	bǎocún
保守	bǎoshǒu
保安	bǎoān
保密	bǎomì
保护	bǎohù
保持	bǎochí
保暖	bǎonuǎn
保留	bǎoliú
保管	bǎoguǎn
保证	bǎozhèng
保质期	bǎozhìqī
保重	bǎozhòng
保险	bǎoxiǎn
保障	bǎozhàng
保鲜	bǎoxiān
保龄球	băolíngqiú
信	xìn
信仰	xìnyǎng
信件	xìnjiàn
信任	xìnrèn
信函	xìnhán
信号	xìnhào
信奉	xìnfèng
信封	xìnfēng
信徒	xìntú
信心	xìnxīn
信念	xìnniàn
信息	xìnxī
信服	xìnfú
信用	xìnyòng
信用卡	xìnyòngkǎ
